nj=35;
nm=7;
nr=6;
nLotBot=4;
nRetBot=3;
par_Jobs = {
<1,26>
<2,25>
<3,12>
<4,14>
<5,24>
<6,18>
<7,24>
<8,26>
<9,24>
<10,11>
<11,21>
<12,14>
<13,19>
<14,20>
<15,16>
<16,19>
<17,20>
<18,11>
<19,19>
<20,19>
<21,24>
<22,19>
<23,16>
<24,17>
<25,11>
<26,23>
<27,18>
<28,11>
<29,21>
<30,13>
<31,26>
<32,20>
<33,24>
<34,10>
<35,22>
};

par_J2M2Rs = {
<1,4,1>
<1,5,2>
<1,2,2>
<2,1,3>
<2,2,3>
<2,5,4>
<3,5,5>
<3,3,5>
<3,1,6>
<4,1,1>
<4,5,3>
<4,6,3>
<5,3,5>
<5,7,5>
<6,6,4>
<6,2,4>
<6,4,6>
<7,5,6>
<7,2,6>
<8,2,2>
<8,5,1>
<9,5,4>
<10,1,6>
<11,5,2>
<11,1,2>
<12,4,5>
<12,2,5>
<13,4,5>
<13,7,5>
<14,7,5>
<14,1,2>
<15,3,6>
<15,5,6>
<15,7,2>
<15,6,2>
<16,2,5>
<16,7,6>
<17,2,2>
<17,4,2>
<17,7,3>
<18,4,2>
<18,1,2>
<19,4,6>
<19,2,6>
<19,5,4>
<19,6,4>
<20,3,4>
<20,1,4>
<21,3,2>
<21,4,2>
<22,2,3>
<22,1,3>
<23,5,3>
<24,2,5>
<25,3,5>
<25,7,5>
<25,5,2>
<25,2,2>
<26,4,6>
<27,2,1>
<27,5,1>
<28,3,4>
<28,7,4>
<29,5,4>
<29,4,4>
<29,1,6>
<29,6,6>
<30,7,3>
<30,1,3>
<30,6,3>
<31,6,3>
<32,6,5>
<32,5,5>
<32,4,5>
<33,6,6>
<33,3,6>
<33,4,1>
<34,7,1>
<35,1,1>
<35,7,1>
<35,4,4>
};
