nj=95;
nm=15;
nr=28;
nLotBot=10;
nRetBot=5;
par_Jobs = {
<1,16>
<2,15>
<3,17>
<4,16>
<5,26>
<6,15>
<7,22>
<8,26>
<9,21>
<10,10>
<11,16>
<12,13>
<13,13>
<14,14>
<15,16>
<16,25>
<17,24>
<18,24>
<19,10>
<20,25>
<21,18>
<22,12>
<23,25>
<24,17>
<25,19>
<26,19>
<27,11>
<28,26>
<29,15>
<30,11>
<31,17>
<32,21>
<33,21>
<34,24>
<35,19>
<36,19>
<37,21>
<38,19>
<39,21>
<40,10>
<41,24>
<42,15>
<43,20>
<44,11>
<45,19>
<46,13>
<47,20>
<48,13>
<49,13>
<50,18>
<51,19>
<52,25>
<53,16>
<54,10>
<55,20>
<56,14>
<57,12>
<58,25>
<59,22>
<60,22>
<61,22>
<62,24>
<63,18>
<64,20>
<65,23>
<66,13>
<67,21>
<68,10>
<69,21>
<70,14>
<71,17>
<72,24>
<73,24>
<74,19>
<75,11>
<76,20>
<77,13>
<78,18>
<79,26>
<80,14>
<81,16>
<82,20>
<83,24>
<84,12>
<85,24>
<86,16>
<87,12>
<88,10>
<89,11>
<90,19>
<91,23>
<92,18>
<93,15>
<94,20>
<95,13>
};

par_J2M2Rs = {
<1,4,1>
<1,10,1>
<1,14,2>
<1,12,2>
<2,12,3>
<2,3,3>
<3,13,4>
<3,5,4>
<4,1,5>
<4,11,6>
<5,6,7>
<6,8,8>
<6,5,9>
<7,6,10>
<7,4,10>
<8,13,11>
<8,10,12>
<9,11,13>
<10,13,14>
<11,14,15>
<11,11,16>
<11,15,16>
<12,11,17>
<12,10,17>
<12,14,18>
<12,12,18>
<13,2,19>
<13,15,19>
<13,12,20>
<13,13,20>
<14,15,21>
<15,14,22>
<15,7,22>
<16,10,23>
<16,1,23>
<16,6,24>
<17,14,25>
<18,15,26>
<18,12,27>
<19,13,28>
<19,9,14>
<19,5,14>
<20,2,24>
<20,11,28>
<21,5,22>
<22,15,18>
<23,9,11>
<23,15,11>
<23,12,5>
<23,8,5>
<24,11,1>
<24,6,1>
<24,8,24>
<24,13,24>
<25,10,11>
<25,11,11>
<25,9,18>
<25,7,18>
<26,4,14>
<26,1,14>
<27,8,9>
<27,4,9>
<27,12,11>
<27,11,11>
<28,1,25>
<28,9,25>
<28,5,23>
<28,12,23>
<29,14,28>
<30,7,24>
<30,1,24>
<31,4,22>
<31,3,4>
<32,11,12>
<32,5,12>
<33,6,13>
<33,8,13>
<33,12,15>
<33,11,15>
<34,6,2>
<35,8,13>
<35,4,13>
<35,3,7>
<35,6,7>
<36,12,3>
<36,6,3>
<36,1,19>
<36,8,19>
<37,10,5>
<37,1,16>
<37,13,16>
<38,15,7>
<38,4,22>
<38,11,22>
<39,11,22>
<39,4,22>
<39,15,18>
<39,6,18>
<40,12,4>
<40,3,4>
<40,7,7>
<41,1,21>
<41,15,2>
<42,15,23>
<42,10,23>
<42,6,13>
<42,1,13>
<43,12,9>
<43,1,21>
<43,4,21>
<44,3,5>
<45,14,6>
<46,9,22>
<47,2,13>
<47,1,13>
<47,15,2>
<48,12,26>
<48,10,26>
<48,11,27>
<49,2,10>
<49,14,23>
<50,2,15>
<51,13,28>
<51,8,28>
<51,5,27>
<52,7,5>
<52,14,5>
<53,14,6>
<53,9,6>
<54,9,19>
<54,2,19>
<55,12,25>
<56,8,16>
<56,10,9>
<56,13,9>
<57,15,28>
<57,6,28>
<57,4,25>
<57,12,25>
<58,12,9>
<59,14,4>
<59,10,4>
<60,14,26>
<60,13,26>
<61,15,7>
<62,4,17>
<62,2,17>
<63,13,3>
<63,5,18>
<64,15,2>
<64,12,2>
<65,4,6>
<65,3,6>
<66,3,18>
<66,1,6>
<66,9,6>
<67,14,10>
<67,6,2>
<67,3,2>
<68,6,9>
<68,1,17>
<69,10,6>
<70,13,19>
<70,14,26>
<71,15,21>
<71,8,21>
<72,8,20>
<73,1,18>
<73,6,25>
<74,15,1>
<74,2,5>
<75,13,7>
<76,8,23>
<76,14,23>
<76,11,16>
<77,7,24>
<77,4,24>
<77,5,8>
<77,10,8>
<78,15,10>
<79,2,21>
<79,11,21>
<80,5,3>
<81,6,15>
<81,14,1>
<82,5,28>
<82,3,16>
<83,3,5>
<83,6,5>
<83,8,2>
<84,8,3>
<84,10,3>
<84,12,8>
<85,7,16>
<85,5,16>
<85,9,5>
<85,13,5>
<86,6,16>
<86,5,16>
<87,9,18>
<88,13,6>
<88,4,9>
<89,10,2>
<89,4,12>
<89,14,12>
<90,1,14>
<90,13,14>
<90,4,9>
<90,5,9>
<91,1,24>
<92,2,2>
<92,7,2>
<92,3,21>
<93,13,7>
<93,2,7>
<93,1,7>
<94,10,1>
<94,11,1>
<94,14,24>
<95,11,12>
<95,7,12>
<95,13,7>
<95,8,7>
};
