nj=50;
nm=10;
nr=10;
nLotBot=5;
nRetBot=3;
par_Jobs = {
<1,15>
<2,21>
<3,21>
<4,23>
<5,24>
<6,17>
<7,15>
<8,18>
<9,15>
<10,17>
<11,19>
<12,12>
<13,17>
<14,22>
<15,16>
<16,24>
<17,24>
<18,15>
<19,25>
<20,25>
<21,23>
<22,15>
<23,20>
<24,25>
<25,25>
<26,25>
<27,12>
<28,21>
<29,16>
<30,11>
<31,21>
<32,13>
<33,19>
<34,20>
<35,22>
<36,25>
<37,19>
<38,23>
<39,22>
<40,18>
<41,17>
<42,23>
<43,13>
<44,12>
<45,25>
<46,21>
<47,11>
<48,23>
<49,18>
<50,17>
};

par_J2M2Rs = {
<1,6,1>
<2,5,2>
<3,6,3>
<3,10,4>
<3,5,4>
<4,1,5>
<5,3,6>
<5,4,7>
<6,7,8>
<6,1,8>
<7,4,9>
<7,1,9>
<8,5,10>
<8,2,8>
<8,9,8>
<9,9,4>
<10,7,9>
<10,1,9>
<10,8,9>
<11,1,1>
<11,5,5>
<12,8,3>
<12,3,6>
<13,2,8>
<14,7,3>
<15,2,3>
<15,10,3>
<15,9,6>
<15,5,6>
<16,4,10>
<16,3,7>
<17,5,7>
<17,6,7>
<17,3,4>
<18,5,6>
<18,3,6>
<18,1,10>
<18,8,10>
<19,2,10>
<19,9,2>
<20,5,7>
<20,6,7>
<20,9,2>
<20,8,2>
<21,5,7>
<22,5,3>
<22,8,3>
<23,2,7>
<23,5,7>
<24,2,4>
<24,7,4>
<24,1,2>
<25,6,9>
<25,4,6>
<26,7,3>
<26,6,3>
<26,8,6>
<27,3,10>
<28,7,5>
<28,3,5>
<29,2,6>
<30,3,4>
<31,3,9>
<31,7,8>
<31,8,8>
<32,8,8>
<32,9,8>
<33,6,7>
<33,7,7>
<33,4,6>
<33,2,6>
<34,7,1>
<35,3,1>
<36,5,7>
<36,4,7>
<36,2,2>
<36,9,2>
<37,3,6>
<37,1,7>
<37,2,7>
<38,6,8>
<39,9,4>
<39,2,9>
<39,8,9>
<40,10,7>
<41,8,4>
<42,8,2>
<43,7,4>
<43,3,4>
<43,2,3>
<44,2,1>
<44,7,1>
<45,1,10>
<45,9,4>
<46,4,10>
<47,5,6>
<48,7,7>
<48,6,1>
<49,7,2>
<49,5,2>
<50,7,5>
<50,8,4>
<50,3,4>
};
