nj=55;
nm=11;
nr=12;
nLotBot=6;
nRetBot=4;
par_Jobs = {
<1,22>
<2,17>
<3,18>
<4,15>
<5,21>
<6,19>
<7,21>
<8,18>
<9,14>
<10,23>
<11,18>
<12,21>
<13,12>
<14,12>
<15,26>
<16,15>
<17,15>
<18,19>
<19,22>
<20,11>
<21,11>
<22,20>
<23,11>
<24,25>
<25,22>
<26,25>
<27,24>
<28,14>
<29,21>
<30,26>
<31,21>
<32,14>
<33,15>
<34,12>
<35,12>
<36,23>
<37,19>
<38,11>
<39,23>
<40,15>
<41,17>
<42,16>
<43,26>
<44,24>
<45,10>
<46,15>
<47,21>
<48,23>
<49,19>
<50,23>
<51,20>
<52,15>
<53,23>
<54,11>
<55,17>
};

par_J2M2Rs = {
<1,6,1>
<1,5,1>
<2,2,2>
<2,6,2>
<3,2,3>
<3,6,3>
<3,4,4>
<4,9,5>
<5,5,6>
<5,3,7>
<6,1,8>
<6,9,9>
<6,4,9>
<7,4,10>
<8,9,11>
<8,5,12>
<8,1,12>
<9,7,5>
<9,6,4>
<9,4,4>
<10,11,8>
<10,9,8>
<10,3,7>
<10,7,7>
<11,9,3>
<11,11,3>
<12,10,4>
<12,8,4>
<13,11,9>
<13,3,9>
<13,8,5>
<13,6,5>
<14,4,8>
<14,11,10>
<14,5,10>
<15,2,10>
<16,3,12>
<16,8,12>
<17,6,3>
<17,2,3>
<18,11,3>
<19,8,5>
<19,6,5>
<20,6,8>
<21,10,11>
<21,4,11>
<21,2,3>
<21,11,3>
<22,3,10>
<22,5,11>
<22,11,11>
<23,1,5>
<23,7,5>
<24,7,6>
<24,5,6>
<24,10,10>
<24,2,10>
<25,7,3>
<25,3,3>
<26,10,6>
<27,7,3>
<27,5,3>
<28,7,3>
<28,1,3>
<29,2,10>
<29,6,10>
<29,7,2>
<29,3,2>
<30,5,12>
<30,1,12>
<30,9,6>
<31,10,9>
<31,2,9>
<31,4,7>
<31,3,7>
<32,5,10>
<32,4,11>
<33,5,12>
<33,6,12>
<33,8,8>
<34,2,10>
<34,9,10>
<34,4,4>
<34,3,4>
<35,7,10>
<35,10,10>
<35,8,8>
<36,5,5>
<36,10,5>
<36,3,5>
<36,7,5>
<37,10,10>
<37,4,11>
<38,9,9>
<38,4,9>
<38,1,2>
<39,1,5>
<39,4,5>
<40,9,11>
<41,3,7>
<41,8,7>
<42,2,3>
<42,7,3>
<42,9,4>
<43,5,4>
<43,4,4>
<44,1,4>
<44,6,4>
<44,2,5>
<45,4,9>
<45,1,9>
<45,2,4>
<45,5,4>
<46,2,10>
<46,6,9>
<46,5,9>
<47,6,1>
<47,8,3>
<48,2,1>
<48,3,1>
<48,7,1>
<49,3,6>
<49,11,6>
<49,2,7>
<50,10,7>
<50,7,7>
<50,6,2>
<50,9,2>
<51,3,1>
<51,1,1>
<52,9,12>
<52,6,12>
<52,1,4>
<52,3,4>
<53,6,6>
<54,6,11>
<54,11,11>
<55,1,3>
};
